date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:47	253487/253487	---M--	200	added ('OK')	image/svg+xml	etag:%2235e1abd-3de2f-5660f7cbb0c21%22	http://www.ethemes.com/demo/Dale/fonts/fontawesome-webfont.svg?v=4.1.0	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/fonts/fontawesome-webfont862f.svg	(from http://www.ethemes.com/demo/Dale/css/font-awesome.min.css)
17:25:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Feb%202018%2011:55:47%20GMT	http://www.ethemes.com/demo/Dale/css/grabbing.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/css/grabbing.png	(from http://www.ethemes.com/demo/Dale/css/owl.carousel.css)
17:25:53	10517/10517	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Feb%202018%2011:55:50%20GMT	http://ethemes.com/demo/Dale/css/grabbing.png	C:/Users/Bharath/Desktop/Templates/dale/ethemes.com/demo/Dale/css/grabbing.6a.delayed	(from http://www.ethemes.com/demo/Dale/css/owl.carousel.css)
17:25:53	280/280	---M--	200	added ('OK')	image/png	etag:%2235e240d-118-5660fa05fb768%22	http://www.ethemes.com/demo/Dale/images/design/close.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/design/close.png	(from http://www.ethemes.com/demo/Dale/css/lightbox.css)
17:25:54	141564/141564	---M--	200	added ('OK')	application/x-font-ttf	etag:%2235e1abe-228fc-5660f7cbf1f1a%22	http://www.ethemes.com/demo/Dale/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/fonts/fontawesome-webfont862f.ttf	(from http://www.ethemes.com/demo/Dale/css/font-awesome.min.css)
17:25:55	8476/8476	---M--	200	added ('OK')	image/gif	etag:%2235e240e-211c-5660fa061f988%22	http://www.ethemes.com/demo/Dale/images/design/loading.gif	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/design/loading.gif	(from http://www.ethemes.com/demo/Dale/css/lightbox.css)
17:25:55	1360/1360	---M--	200	added ('OK')	image/png	etag:%2235e2413-550-5660fa069ecb1%22	http://www.ethemes.com/demo/Dale/images/design/prev.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/design/prev.png	(from http://www.ethemes.com/demo/Dale/css/lightbox.css)
17:25:56	1350/1350	---M--	200	added ('OK')	image/png	etag:%2235e2411-546-5660fa06679e1%22	http://www.ethemes.com/demo/Dale/images/design/next.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/design/next.png	(from http://www.ethemes.com/demo/Dale/css/lightbox.css)
17:36:42	13080633/13080633	---M--	200	added ('OK')	video/webm	etag:%2235e2438-c79839-5660fa1dc8ba3%22	http://www.ethemes.com/demo/Dale/videos/CameraLens/CameraLens.webm	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/videos/CameraLens/CameraLens.webm	(from http://www.ethemes.com/demo/Dale/)
17:36:51	26341/26341	---M--	200	added ('OK')	image/jpeg	etag:%2235e1b01-66e5-5660f7d6853c1%22	http://www.ethemes.com/demo/Dale/images/testimonial.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/testimonial.jpg	(from http://www.ethemes.com/demo/Dale/about.html)
17:36:52	2608/2608	---M--	200	added ('OK')	application/javascript	etag:%2235e1b05-a30-5660f7d702b94%22	http://www.ethemes.com/demo/Dale/js/countUp.min.js	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/js/countUp.min.js	(from http://www.ethemes.com/demo/Dale/about.html)
17:36:57	3918/3918	---M--	200	added ('OK')	application/javascript	etag:%2235e1b0d-f4e-5660f7d7a64c8%22	http://www.ethemes.com/demo/Dale/js/jquery.easypiechart.min.js	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/js/jquery.easypiechart.min.js	(from http://www.ethemes.com/demo/Dale/about.html)
17:37:18	73652/73652	---M--	200	added ('OK')	application/javascript	etag:%2235e1b07-11fb4-5660f7d7432d6%22	http://www.ethemes.com/demo/Dale/js/gmap3.js	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/js/gmap3.js	(from http://www.ethemes.com/demo/Dale/contact.html)
17:37:23	71508/71508	---M--	200	added ('OK')	image/jpeg	etag:%2235e1ad3-11754-5660f7cfaa578%22	http://www.ethemes.com/demo/Dale/images/blog-image-3.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/blog-image-3.jpg	(from http://www.ethemes.com/demo/Dale/blog.html)
17:37:31	23985/23985	---M--	200	added ('OK')	image/jpeg	etag:%2235e1ad5-5db1-5660f7cfe7222%22	http://www.ethemes.com/demo/Dale/images/blog-thumbnail-1.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/blog-thumbnail-1.jpg	(from http://www.ethemes.com/demo/Dale/blog.html)
17:37:36	90389/90389	---M--	200	added ('OK')	image/jpeg	etag:%2235e1ad0-16115-5660f7cf1625d%22	http://www.ethemes.com/demo/Dale/images/blog-image-1.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/blog-image-1.jpg	(from http://www.ethemes.com/demo/Dale/blog.html)
17:37:37	18497/18497	---M--	200	added ('OK')	image/jpeg	etag:%2235e1ad7-4841-5660f7d025a23%22	http://www.ethemes.com/demo/Dale/images/blog-thumbnail-2.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/blog-thumbnail-2.jpg	(from http://www.ethemes.com/demo/Dale/blog.html)
17:37:48	23100/23100	---M--	200	added ('OK')	image/jpeg	etag:%2235e1ad9-5a3c-5660f7d06942d%22	http://www.ethemes.com/demo/Dale/images/blog-thumbnail-3.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/blog-thumbnail-3.jpg	(from http://www.ethemes.com/demo/Dale/blog.html)
17:37:50	3998/3998	---M--	200	added ('OK')	image/png	etag:%2235e1adc-f9e-5660f7d0a0ece%22	http://www.ethemes.com/demo/Dale/images/foot-logo.png	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/foot-logo.png	(from http://www.ethemes.com/demo/Dale/footer-alternate.html)
17:37:50	50402/50402	---M--	200	added ('OK')	image/jpeg	etag:%2235e1ace-c4e2-5660f7cec8ffb%22	http://www.ethemes.com/demo/Dale/images/blog-author-example.jpg	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/images/blog-author-example.jpg	(from http://www.ethemes.com/demo/Dale/single.html)
17:39:32	14726833/14726833	---M--	200	added ('OK')	video/mp4	etag:%2235e2446-e0b6b1-5660fa6a8cd5f%22	http://www.ethemes.com/demo/Dale/videos/RecordPlayer/RecordPlayer.mp4	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/videos/RecordPlayer/RecordPlayer.mp4	(from http://www.ethemes.com/demo/Dale/)
17:41:06	4044525/4044525	UR-M--	200	added ('Partial%20Content')	video/ogg	etag:%2235e2437-3db6ed-5660fa13bfa26%22	http://www.ethemes.com/demo/Dale/videos/CameraLens/CameraLens.ogv	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/videos/CameraLens/CameraLens.ogv	(from http://www.ethemes.com/demo/Dale/)
17:42:25	3202428/3202428	UR-M--	200	added ('Partial%20Content')	video/webm	etag:%2235e2448-30dd7c-5660fa6a42dc7%22	http://www.ethemes.com/demo/Dale/videos/RecordPlayer/RecordPlayer.webm	C:/Users/Bharath/Desktop/Templates/dale/www.ethemes.com/demo/Dale/videos/RecordPlayer/RecordPlayer.webm	(from http://www.ethemes.com/demo/Dale/)
